MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
1,2,EWR,21,MCO,33,937.0,2,3.0,WN,133.5
1,1,BOS,13,MKE,45,860.0,2,1.0,WN,124.5
1,4,IND,42,LAS,85,1590.0,2,1.0,WN,656.47
1,1,ORD,41,MSY,72,837.0,2,1.0,UA,705.0
1,3,FLL,33,BOS,13,1237.0,2,1.0,WN,170.58
1,3,PHX,81,EWR,21,2133.0,2,1.0,AA,364.0
1,2,FLL,33,BNA,54,793.0,2,1.0,WN,223.0
1,2,SAN,91,KOA,2,2556.0,1,1.0,AS,265.0
1,1,DCA,38,RSW,33,892.0,2,3.0,B6,134.5
1,3,OAK,91,AUS,74,1497.0,2,1.0,WN,203.25
1,2,SAT,74,BNA,54,822.0,2,1.0,WN,264.5
1,2,SFO,91,SEA,93,679.0,2,1.0,UA,563.0
1,4,LAX,91,PDX,92,834.0,2,3.0,AS,259.5
1,4,AUS,74,MCO,33,994.0,2,6.0,WN,222.5
1,2,AUS,74,DCA,38,1315.0,2,7.0,WN,253.5
1,2,BOS,13,SEA,93,2496.0,2,1.0,DL,164.0
1,4,EWR,21,SFO,91,2565.0,2,1.0,UA,344.0
1,2,SJC,91,DFW,74,1438.0,2,1.0,AA,169.0
1,2,EWR,21,SLC,87,1969.0,2,1.0,UA,138.0
1,3,DFW,74,EWR,21,1372.0,2,1.0,UA,135.0
1,1,LAX,91,SFO,91,337.0,2,4.0,WN,93.0
1,2,FLL,33,STL,64,1057.0,2,1.0,WN,160.85
1,3,ATL,34,LGA,22,762.0,2,3.0,DL,258.0
1,2,BOS,13,ATL,34,946.0,2,4.0,WN,102.5
1,4,MDW,41,DCA,38,601.0,2,1.0,WN,125.0
1,1,OAK,91,LAX,91,337.0,2,5.0,NK,54.0
1,4,DAL,74,OAK,91,1468.0,2,1.0,WN,293.9
1,3,JAX,33,JFK,22,828.0,2,7.0,B6,171.0
1,1,LAX,91,MSY,72,1670.0,2,1.0,NK,87.0
1,1,HOU,74,OAK,91,1642.0,2,4.0,WN,333.5
1,2,SNA,91,HOU,74,1357.0,2,1.0,WN,122.0
1,4,PGD,33,STC,63,1447.0,2,4.0,G4,54.0
1,3,MCI,64,DEN,82,533.0,2,2.0,WN,294.0
1,2,BOS,13,SFO,91,2704.0,2,1.0,UA,234.0
1,1,STL,64,LAS,85,1371.0,2,1.0,WN,309.5
1,4,SAT,74,MSY,72,494.0,2,1.0,WN,107.5
2,4,CHS,37,OKC,73,1020.0,2,1.0,DL,214.0
1,3,MSY,72,ORD,41,837.0,2,1.0,UA,174.5
1,3,DAL,74,MDW,41,793.0,2,1.0,WN,164.0
1,3,SNA,91,HOU,74,1357.0,2,1.0,WN,142.5
1,3,PDX,92,EWR,21,2434.0,2,2.0,UA,196.5
1,2,BUR,91,SJC,91,296.0,2,6.0,WN,213.0
1,3,EWR,21,SAN,91,2425.0,2,1.0,AS,406.0
1,4,DEN,82,SEA,93,1024.0,2,2.0,WN,130.0
1,2,BOS,13,DTW,43,632.0,2,1.0,NK,78.0
1,2,SJU,3,STX,4,94.0,1,1.0,B6,133.0
1,4,SJC,91,SEA,93,696.0,2,3.0,AS,130.0
1,4,SEA,93,AUS,74,1770.0,2,1.0,AS,473.0
1,2,DAL,74,EWR,21,1365.0,2,1.0,WN,117.83
